User ID,Username,Platform,Post ID,Post URL,Post Timestamp,Likes/Reactions,Comments,Shares/Retweets,Hashtags,Media Type,Media URL,Location,Privacy Settings,User Followers,User Following,Account Creation Date,User Activity,User Bio,User Description 1,User Description 2,Server Post,User Language
1,@adventureSeeker,Instagram,,http://instagram.com/adventureSeeker/82036,30/07/23 14:45,1500,250,120,#AdventureTime,Image,http://example.com/adventure.jpg,Yosemite National Park,Public,15000,500,10/05/19,3 posts per week,Adventure enthusiast,Nature lover,Seeker of wanderlust ??,"California, USA",English
2,@foodieTraveler,Twitter,,http://twitter.com/foodieTraveler/12463,30/07/23 19:30,850,70,50,#FoodieTravels,Text,None,"Bangkok, Thailand",Public,8000,300,15/09/17,5 posts per week,Culinary explorer,Street food connoisseur,Travel addict ??,"London, UK",English
3,@wellnessJourney,Facebook,,http://facebook.com/wellnessJourney/45982,30/07/23 8:15,680,80,40,#WellnessJourney,Image,http://example.com/wellness.jpg,"Bali, Indonesia",Public,6000,200,02/03/20,2 posts per week,Wellness enthusiast,Yogi in training,Mindfulness advocate,"San Francisco, USA",English
4,@fitnessFreak,Instagram,,http://instagram.com/fitnessFreak/16572,30/07/23 12:30,1850,350,180,#FitnessGoals,Image,http://example.com/fitness.jpg,"Los Angeles, USA",Public,32000,400,12/08/16,4 posts per week,Fitness enthusiast,Health is wealth,Workout addict,"Los Angeles, USA",English
5,@foodExplorer,Twitter,,http://twitter.com/foodExplorer/75589,30/07/23 16:20,950,80,60,#Foodies,Text,None,"Paris, France",Public,7200,1800,28/02/18,3 posts per week,Culinary adventurer,Gastronomic traveler,Bon app?it!,"Paris, France",English
6,@wanderlustSoul,Facebook,,http://facebook.com/wanderlustSoul/24680,30/07/23 9:45,1200,110,50,#Wanderlust,Image,http://example.com/wanderlust.jpg,"Bali, Indonesia",Friends Only,9500,650,05/09/19,2 posts per week,Traveler at heart ??,Nature lover,Free spirit,"Bali, Indonesia",English
7,@techGeek,Twitter,,http://twitter.com/techGeek/36901,30/07/23 11:10,550,40,30,#TechNews,Text,None,"San Francisco, USA",Public,6500,300,18/01/21,1 post per day,Tech enthusiast,Geek by choice,Futurist,"San Francisco, USA",English
8,@petWhisperer,Instagram,,http://instagram.com/petWhisperer/98342,30/07/23 15:55,2200,320,200,#PetLove,Image,http://example.com/pet.jpg,"New York City, USA",Public,18500,1000,29/03/22,2 posts per week,Animal lover,Cat whisperer,Pet advocate,"New York City, USA",English
9,@bookwormLife,Facebook,,http://facebook.com/bookwormLife/57481,30/07/23 17:30,780,60,40,#BookNerd,Image,http://example.com/book.jpg,"London, UK",Public,8200,700,20/09/18,4 posts per week,Bibliophile,Literature lover,Word devourer,"London, UK",English
10,@foodPhotog,Instagram,,http://instagram.com/foodPhotog/20589,30/07/23 12:15,1100,120,80,#FoodPhotography,Image,http://example.com/food.jpg,"Paris, France",Friends Only,5000,400,05/12/17,3 posts per week,Foodie by heart,Gastronomy explorer,Cuisine critic,"Paris, France",English
11,@artisticSoul,Twitter,,http://twitter.com/artisticSoul/73249,30/07/23 14:40,650,90,60,#ArtisticJourney,Text,None,"New York City, USA",Public,3200,600,10/02/19,2 posts per week,Art enthusiast,Sketchbook wanderer,Brushstrokes and beyond,"New York City, USA",English
12,@musicAddict,Spotify,,http://spotify.com/musicAddict/60912,30/07/23 9:20,900,110,70,#MusicDiscovery,Text,None,"Los Angeles, USA",Public,7500,300,28/04/21,1 post per day,Melody seeker,Rhythm explorer,Harmonious soul,"Los Angeles, USA",English
13,@petRescuer,Instagram,,http://instagram.com/petRescuer/14236,30/07/23 11:50,1350,280,150,#AdoptDontShop,Image,http://example.com/pet_rescue.jpg,"San Francisco, USA",Public,11000,900,19/11/16,3 posts per week,Animal advocate,Pet rescuer,Compassionate soul,"San Francisco, USA",English
14,@natureLover,Instagram,,http://instagram.com/natureLover/95641,30/07/23 18:50,1220,180,100,#NatureLove,Image,http://example.com/nature.jpg,"Vancouver, Canada",Friends Only,7500,300,15/06/18,2 posts per week,Nature admirer,Wanderlust seeker,Outdoor enthusiast,"Vancouver, Canada",English
15,@techEnthusiast,Twitter,,http://twitter.com/techEnthusiast/47560,30/07/23 20:15,980,120,80,#TechLover,Text,None,"San Jose, USA",Public,12500,250,22/03/17,3 posts per week,Tech geek,Gadget explorer,Digital native,"San Jose, USA",English
16,@filmCritic,YouTube,,http://youtube.com/watch65241,30/07/23 15:20,740,90,60,#MovieReviews,Video,http://example.com/movie_review.mp4,"Los Angeles, USA",Public,9200,800,05/01/19,1 post per week,Film enthusiast,Cinema lover,Popcorn addict,"Los Angeles, USA",English
17,@fashionIcon,Instagram,,http://instagram.com/fashionIcon/30420,30/07/23 11:40,1750,320,220,#Fashionista,Image,http://example.com/fashion.jpg,"New York City, USA",Public,28000,400,10/07/16,4 posts per week,Fashion enthusiast,Style influencer,Trendsetter,"New York City, USA",English
18,@gamerGeek,Twitch,,http://twitch.tv/gamerGeek/74859,30/07/23 13:25,1120,180,100,#GamerLife,Video,http://example.com/gaming_stream.mp4,"Seattle, USA",Public,6500,600,28/02/20,2 posts per week,Gaming enthusiast,RPG fanatic,Virtual world explorer,"Seattle, USA",English
19,@artLife,Instagram,,http://instagram.com/artLife/84263,30/07/23 16:35,900,120,60,#ArtisticSpirit,Image,http://example.com/art.jpg,"Rome, Italy",Public,5500,400,18/02/20,2 posts per week,Art enthusiast,Painter by passion,Colors bring joy,"Rome, Italy",English
20,@travelBug,Twitter,,http://twitter.com/travelBug/32840,30/07/23 13:10,720,80,50,#TravelDiaries,Text,None,"Tokyo, Japan",Public,8700,300,05/04/19,3 posts per week,Travel enthusiast ??,Wanderlust soul,Passport is my BFF,"Tokyo, Japan",English
21,@fitnessGuru,Facebook,,http://facebook.com/fitnessGuru/92634,30/07/23 12:40,1500,250,120,#FitnessMotivation,Image,http://example.com/fitness2.jpg,"Los Angeles, USA",Friends Only,15600,600,22/08/17,4 posts per week,Fitness guru,Wellness advocate,"Strong mind, strong body","Los Angeles, USA",English
22,@petLover,Instagram,,http://instagram.com/petLover/12543,30/07/23 19:20,1080,190,80,#PetAdventures,Image,http://example.com/pet2.jpg,"Sydney, Australia",Public,8200,450,10/10/19,3 posts per week,Animal lover,Pet parent,"Adopt, don't shop","Sydney, Australia",English
23,@techWhiz,Twitter,,http://twitter.com/techWhiz/36780,30/07/23 17:05,890,100,60,#TechInnovation,Text,None,"Silicon Valley, USA",Public,13000,500,18/03/18,2 posts per week,Tech enthusiast,Code wizard,Innovation explorer,"Silicon Valley, USA",English
24,@bookLover,Goodreads,,http://goodreads.com/bookLover/75928,30/07/23 10:30,460,50,30,#BookWorm,Text,None,"London, UK",Public,4200,300,22/01/20,1 post per day,Book addict,Literary explorer,Words weave magic,"London, UK",English
25,@foodJunkie,Instagram,,http://instagram.com/foodJunkie/69274,30/07/23 16:00,970,80,60,#FoodHeaven,Image,http://example.com/food2.jpg,"New York City, USA",Public,19800,250,12/03/16,4 posts per week,Food lover,Culinary explorer,Taste tester,"New York City, USA",English
26,@musicMaestro,Spotify,,http://spotify.com/musicMaestro/48720,30/07/23 13:50,810,90,50,#MusicMagic,Text,None,"London, UK",Public,7600,200,29/06/19,3 posts per week,Music aficionado,Melody maestro,Soulful serenader,"London, UK",English
27,@adrenalineJunkie,Instagram,,http://instagram.com/adrenalineJunkie/27549,30/07/23 11:20,780,150,100,#AdrenalineRush,Image,http://example.com/adrenaline.jpg,"Sydney, Australia",Public,15200,500,19/12/17,4 posts per week,Adventure seeker,Risk-taker,Thrill addict,"Sydney, Australia",English
28,@fashionista,Twitter,,http://twitter.com/fashionista/81934,30/07/23 14:05,430,60,40,#FashionPassion,Text,None,"Paris, France",Friends Only,8400,400,28/04/18,2 posts per week,Fashion lover,Style connoisseur,Trendsetter,"Paris, France",English
29,@globeTrotter,Facebook,,http://facebook.com/globeTrotter/67482,30/07/23 15:40,1150,140,70,#Wanderlust,Image,http://example.com/travel.jpg,"Barcelona, Spain",Public,12500,300,08/05/19,3 posts per week,Adventurer,Culture seeker,Passport stamp collector,"Barcelona, Spain",English
30,@foodExplorer,Instagram,,http://instagram.com/foodExplorer/59243,30/07/23 12:25,760,90,60,#FoodAdventures,Image,http://example.com/food3.jpg,"Tokyo, Japan",Public,6200,400,12/06/20,2 posts per week,Food enthusiast,Street food lover,Tasting the world,"Tokyo, Japan",English
31,@fitAndFab,Twitter,,http://twitter.com/fitAndFab/84380,30/07/23 18:35,980,120,80,#FitnessJourney,Text,None,"Los Angeles, USA",Public,14800,400,22/03/18,3 posts per week,Fitness enthusiast,Wellness warrior,Strong is beautiful,"Los Angeles, USA",English
32,@natureExplorer,Facebook,,http://facebook.com/natureExplorer/27684,30/07/23 19:00,680,70,40,#NatureWanderer,Image,http://example.com/nature2.jpg,"Sydney, Australia",Friends Only,8400,600,15/09/17,2 posts per week,Nature lover,Wilderness seeker,Nature's companion,"Sydney, Australia",English
33,@petAdvocate,Instagram,,http://instagram.com/petAdvocate/94728,30/07/23 9:55,1450,250,120,#AnimalRights,Image,http://example.com/animal.jpg,"London, UK",Friends Only,6400,500,10/11/18,1 post per day,Animal advocate,Pet lover,Compassion is key,"London, UK",English
34,@gameChanger,Twitch,,http://twitch.tv/gameChanger/12462,30/07/23 14:00,880,90,50,#GameChanger,Video,http://example.com/gaming.mp4,"San Francisco, USA",Public,5800,800,15/12/20,4 posts per week,Gaming visionary,VR explorer,Next-level gamer,"San Francisco, USA",English
35,@fashionGuru,YouTube,,http://youtube.com/watch23879,30/07/23 12:10,520,70,40,#FashionInsider,Video,http://example.com/fashion.mp4,"Paris, France",Public,7400,300,25/07/21,3 posts per week,Fashionista,Trend spotter,Runway observer,"Paris, France",English
36,@bookNerd,Goodreads,,http://goodreads.com/bookNerd/82714,30/07/23 16:25,370,50,30,#BookObsession,Text,None,"New York City, USA",Public,6400,350,12/08/20,2 posts per week,Bookworm,Literary enthusiast,Words are my refuge,"New York City, USA",English
